report_id,entity_type,entity_value,analytical_relevance
TRN00088,ipv4,198.51.100.89,Possible C2 or scanning source/destination address
TRN00088,domain,node-88-sync.example,Possible C2/phishing infrastructure domain
TRN00089,ipv4,198.51.100.90,Possible C2 or scanning source/destination address
TRN00089,domain,node-89-sync.example,Possible C2/phishing infrastructure domain
TRN00092,ipv4,198.51.100.93,Possible C2 or scanning source/destination address
TRN00092,domain,node-92-sync.example,Possible C2/phishing infrastructure domain
TRN00093,ipv4,198.51.100.94,Possible C2 or scanning source/destination address
TRN00093,domain,node-93-sync.example,Possible C2/phishing infrastructure domain
TRN00094,ipv4,198.51.100.95,Possible C2 or scanning source/destination address
TRN00094,domain,node-94-sync.example,Possible C2/phishing infrastructure domain
TRN00095,ipv4,198.51.100.96,Possible C2 or scanning source/destination address
TRN00095,domain,node-95-sync.example,Possible C2/phishing infrastructure domain
TRN00095,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00097,ipv4,198.51.100.98,Possible C2 or scanning source/destination address
TRN00097,domain,node-97-sync.example,Possible C2/phishing infrastructure domain
TRN00097,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00099,ipv4,198.51.100.100,Possible C2 or scanning source/destination address
TRN00099,domain,node-99-sync.example,Possible C2/phishing infrastructure domain
TRN00100,ipv4,198.51.100.101,Possible C2 or scanning source/destination address
TRN00100,domain,node-100-sync.example,Possible C2/phishing infrastructure domain
TRN00102,ipv4,198.51.100.103,Possible C2 or scanning source/destination address
TRN00102,domain,node-102-sync.example,Possible C2/phishing infrastructure domain
TRN00102,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00103,ipv4,198.51.100.104,Possible C2 or scanning source/destination address
TRN00103,domain,node-103-sync.example,Possible C2/phishing infrastructure domain
TRN00115,ipv4,198.51.100.116,Possible C2 or scanning source/destination address
TRN00115,domain,node-115-sync.example,Possible C2/phishing infrastructure domain
TRN00118,ipv4,198.51.100.119,Possible C2 or scanning source/destination address
TRN00118,domain,node-118-sync.example,Possible C2/phishing infrastructure domain
TRN00125,ipv4,198.51.100.126,Possible C2 or scanning source/destination address
TRN00125,domain,node-125-sync.example,Possible C2/phishing infrastructure domain
TRN00125,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00126,ipv4,198.51.100.127,Possible C2 or scanning source/destination address
TRN00126,domain,node-126-sync.example,Possible C2/phishing infrastructure domain
TRN00128,ipv4,198.51.100.129,Possible C2 or scanning source/destination address
TRN00128,domain,node-128-sync.example,Possible C2/phishing infrastructure domain
TRN00129,ipv4,198.51.100.130,Possible C2 or scanning source/destination address
TRN00129,domain,node-129-sync.example,Possible C2/phishing infrastructure domain
TRN00130,ipv4,198.51.100.131,Possible C2 or scanning source/destination address
TRN00130,domain,node-130-sync.example,Possible C2/phishing infrastructure domain
TRN00130,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00132,ipv4,198.51.100.133,Possible C2 or scanning source/destination address
TRN00132,domain,node-132-sync.example,Possible C2/phishing infrastructure domain
TRN00133,ipv4,198.51.100.134,Possible C2 or scanning source/destination address
TRN00133,domain,node-133-sync.example,Possible C2/phishing infrastructure domain
TRN00133,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00136,ipv4,198.51.100.137,Possible C2 or scanning source/destination address
TRN00136,domain,node-136-sync.example,Possible C2/phishing infrastructure domain
TRN00136,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00141,ipv4,198.51.100.142,Possible C2 or scanning source/destination address
TRN00141,domain,node-141-sync.example,Possible C2/phishing infrastructure domain
TRN00151,ipv4,198.51.100.152,Possible C2 or scanning source/destination address
TRN00151,domain,node-151-sync.example,Possible C2/phishing infrastructure domain
TRN00151,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00152,ipv4,198.51.100.153,Possible C2 or scanning source/destination address
TRN00152,domain,node-152-sync.example,Possible C2/phishing infrastructure domain
TRN00155,ipv4,198.51.100.156,Possible C2 or scanning source/destination address
TRN00155,domain,node-155-sync.example,Possible C2/phishing infrastructure domain
TRN00155,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00160,ipv4,198.51.100.161,Possible C2 or scanning source/destination address
TRN00160,domain,node-160-sync.example,Possible C2/phishing infrastructure domain
TRN00160,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00164,ipv4,198.51.100.165,Possible C2 or scanning source/destination address
TRN00164,domain,node-164-sync.example,Possible C2/phishing infrastructure domain
TRN00165,ipv4,198.51.100.166,Possible C2 or scanning source/destination address
TRN00165,domain,node-165-sync.example,Possible C2/phishing infrastructure domain
TRN00167,ipv4,198.51.100.168,Possible C2 or scanning source/destination address
TRN00167,domain,node-167-sync.example,Possible C2/phishing infrastructure domain
TRN00170,ipv4,198.51.100.171,Possible C2 or scanning source/destination address
TRN00170,domain,node-170-sync.example,Possible C2/phishing infrastructure domain
TRN00170,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00173,ipv4,198.51.100.174,Possible C2 or scanning source/destination address
TRN00173,domain,node-173-sync.example,Possible C2/phishing infrastructure domain
TRN00174,ipv4,198.51.100.175,Possible C2 or scanning source/destination address
TRN00174,domain,node-174-sync.example,Possible C2/phishing infrastructure domain
TRN00179,ipv4,198.51.100.180,Possible C2 or scanning source/destination address
TRN00179,domain,node-179-sync.example,Possible C2/phishing infrastructure domain
TRN00179,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00189,ipv4,198.51.100.190,Possible C2 or scanning source/destination address
TRN00189,domain,node-189-sync.example,Possible C2/phishing infrastructure domain
TRN00189,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00189,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00190,ipv4,198.51.100.191,Possible C2 or scanning source/destination address
TRN00190,domain,node-190-sync.example,Possible C2/phishing infrastructure domain
TRN00190,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00191,ipv4,198.51.100.192,Possible C2 or scanning source/destination address
TRN00191,domain,node-191-sync.example,Possible C2/phishing infrastructure domain
TRN00191,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00196,ipv4,198.51.100.197,Possible C2 or scanning source/destination address
TRN00196,domain,node-196-sync.example,Possible C2/phishing infrastructure domain
TRN00199,ipv4,198.51.100.200,Possible C2 or scanning source/destination address
TRN00199,domain,node-199-sync.example,Possible C2/phishing infrastructure domain
TRN00200,ipv4,198.51.100.201,Possible C2 or scanning source/destination address
TRN00200,domain,node-200-sync.example,Possible C2/phishing infrastructure domain
TRN00200,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00203,ipv4,198.51.100.204,Possible C2 or scanning source/destination address
TRN00203,domain,node-203-sync.example,Possible C2/phishing infrastructure domain
TRN00203,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00208,ipv4,198.51.100.209,Possible C2 or scanning source/destination address
TRN00208,domain,node-208-sync.example,Possible C2/phishing infrastructure domain
TRN00208,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00211,ipv4,198.51.100.212,Possible C2 or scanning source/destination address
TRN00211,domain,node-211-sync.example,Possible C2/phishing infrastructure domain
TRN00211,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00216,ipv4,198.51.100.217,Possible C2 or scanning source/destination address
TRN00216,domain,node-216-sync.example,Possible C2/phishing infrastructure domain
TRN00216,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00222,ipv4,198.51.100.3,Possible C2 or scanning source/destination address
TRN00222,domain,node-222-sync.example,Possible C2/phishing infrastructure domain
TRN00223,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN00223,domain,node-223-sync.example,Possible C2/phishing infrastructure domain
TRN00223,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00226,ipv4,198.51.100.7,Possible C2 or scanning source/destination address
TRN00226,domain,node-226-sync.example,Possible C2/phishing infrastructure domain
TRN00229,ipv4,198.51.100.10,Possible C2 or scanning source/destination address
TRN00229,domain,node-229-sync.example,Possible C2/phishing infrastructure domain
TRN00229,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00234,ipv4,198.51.100.15,Possible C2 or scanning source/destination address
TRN00234,domain,node-234-sync.example,Possible C2/phishing infrastructure domain
TRN00234,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00238,ipv4,198.51.100.19,Possible C2 or scanning source/destination address
TRN00238,domain,node-238-sync.example,Possible C2/phishing infrastructure domain
TRN00238,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00245,ipv4,198.51.100.26,Possible C2 or scanning source/destination address
TRN00245,domain,node-245-sync.example,Possible C2/phishing infrastructure domain
TRN00250,ipv4,198.51.100.31,Possible C2 or scanning source/destination address
TRN00250,domain,node-250-sync.example,Possible C2/phishing infrastructure domain
TRN00252,ipv4,198.51.100.33,Possible C2 or scanning source/destination address
TRN00252,domain,node-252-sync.example,Possible C2/phishing infrastructure domain
TRN00257,ipv4,198.51.100.38,Possible C2 or scanning source/destination address
TRN00257,domain,node-257-sync.example,Possible C2/phishing infrastructure domain
TRN00257,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00266,ipv4,198.51.100.47,Possible C2 or scanning source/destination address
TRN00266,domain,node-266-sync.example,Possible C2/phishing infrastructure domain
TRN00266,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00268,ipv4,198.51.100.49,Possible C2 or scanning source/destination address
TRN00268,domain,node-268-sync.example,Possible C2/phishing infrastructure domain
TRN00269,ipv4,198.51.100.50,Possible C2 or scanning source/destination address
TRN00269,domain,node-269-sync.example,Possible C2/phishing infrastructure domain
TRN00269,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00270,ipv4,198.51.100.51,Possible C2 or scanning source/destination address
TRN00270,domain,node-270-sync.example,Possible C2/phishing infrastructure domain
TRN00270,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00270,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00272,ipv4,198.51.100.53,Possible C2 or scanning source/destination address
TRN00272,domain,node-272-sync.example,Possible C2/phishing infrastructure domain
TRN00272,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00276,ipv4,198.51.100.57,Possible C2 or scanning source/destination address
TRN00276,domain,node-276-sync.example,Possible C2/phishing infrastructure domain
TRN00278,ipv4,198.51.100.59,Possible C2 or scanning source/destination address
TRN00278,domain,node-278-sync.example,Possible C2/phishing infrastructure domain
TRN00282,ipv4,198.51.100.63,Possible C2 or scanning source/destination address
TRN00282,domain,node-282-sync.example,Possible C2/phishing infrastructure domain
TRN00290,ipv4,198.51.100.71,Possible C2 or scanning source/destination address
TRN00290,domain,node-290-sync.example,Possible C2/phishing infrastructure domain
TRN00290,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00291,ipv4,198.51.100.72,Possible C2 or scanning source/destination address
TRN00291,domain,node-291-sync.example,Possible C2/phishing infrastructure domain
TRN00294,ipv4,198.51.100.75,Possible C2 or scanning source/destination address
TRN00294,domain,node-294-sync.example,Possible C2/phishing infrastructure domain
TRN00296,ipv4,198.51.100.77,Possible C2 or scanning source/destination address
TRN00296,domain,node-296-sync.example,Possible C2/phishing infrastructure domain
TRN00299,ipv4,198.51.100.80,Possible C2 or scanning source/destination address
TRN00299,domain,node-299-sync.example,Possible C2/phishing infrastructure domain
TRN00301,ipv4,198.51.100.82,Possible C2 or scanning source/destination address
TRN00301,domain,node-301-sync.example,Possible C2/phishing infrastructure domain
TRN00306,ipv4,198.51.100.87,Possible C2 or scanning source/destination address
TRN00306,domain,node-306-sync.example,Possible C2/phishing infrastructure domain
TRN00307,ipv4,198.51.100.88,Possible C2 or scanning source/destination address
TRN00307,domain,node-307-sync.example,Possible C2/phishing infrastructure domain
TRN00308,ipv4,198.51.100.89,Possible C2 or scanning source/destination address
TRN00308,domain,node-308-sync.example,Possible C2/phishing infrastructure domain
TRN00313,ipv4,198.51.100.94,Possible C2 or scanning source/destination address
TRN00313,domain,node-313-sync.example,Possible C2/phishing infrastructure domain
TRN00315,ipv4,198.51.100.96,Possible C2 or scanning source/destination address
TRN00315,domain,node-315-sync.example,Possible C2/phishing infrastructure domain
TRN00315,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00317,ipv4,198.51.100.98,Possible C2 or scanning source/destination address
TRN00317,domain,node-317-sync.example,Possible C2/phishing infrastructure domain
TRN00317,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00322,ipv4,198.51.100.103,Possible C2 or scanning source/destination address
TRN00322,domain,node-322-sync.example,Possible C2/phishing infrastructure domain
TRN00324,ipv4,198.51.100.105,Possible C2 or scanning source/destination address
TRN00324,domain,node-324-sync.example,Possible C2/phishing infrastructure domain
TRN00326,ipv4,198.51.100.107,Possible C2 or scanning source/destination address
TRN00326,domain,node-326-sync.example,Possible C2/phishing infrastructure domain
TRN00328,ipv4,198.51.100.109,Possible C2 or scanning source/destination address
TRN00328,domain,node-328-sync.example,Possible C2/phishing infrastructure domain
TRN00328,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00329,ipv4,198.51.100.110,Possible C2 or scanning source/destination address
TRN00329,domain,node-329-sync.example,Possible C2/phishing infrastructure domain
TRN00329,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00330,ipv4,198.51.100.111,Possible C2 or scanning source/destination address
TRN00330,domain,node-330-sync.example,Possible C2/phishing infrastructure domain
TRN00331,ipv4,198.51.100.112,Possible C2 or scanning source/destination address
TRN00331,domain,node-331-sync.example,Possible C2/phishing infrastructure domain
TRN00335,ipv4,198.51.100.116,Possible C2 or scanning source/destination address
TRN00335,domain,node-335-sync.example,Possible C2/phishing infrastructure domain
TRN00338,ipv4,198.51.100.119,Possible C2 or scanning source/destination address
TRN00338,domain,node-338-sync.example,Possible C2/phishing infrastructure domain
TRN00342,ipv4,198.51.100.123,Possible C2 or scanning source/destination address
TRN00342,domain,node-342-sync.example,Possible C2/phishing infrastructure domain
TRN00342,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00344,ipv4,198.51.100.125,Possible C2 or scanning source/destination address
TRN00344,domain,node-344-sync.example,Possible C2/phishing infrastructure domain
TRN00344,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00345,ipv4,198.51.100.126,Possible C2 or scanning source/destination address
TRN00345,domain,node-345-sync.example,Possible C2/phishing infrastructure domain
TRN00348,ipv4,198.51.100.129,Possible C2 or scanning source/destination address
TRN00348,domain,node-348-sync.example,Possible C2/phishing infrastructure domain
TRN00351,ipv4,198.51.100.132,Possible C2 or scanning source/destination address
TRN00351,domain,node-351-sync.example,Possible C2/phishing infrastructure domain
TRN00354,ipv4,198.51.100.135,Possible C2 or scanning source/destination address
TRN00354,domain,node-354-sync.example,Possible C2/phishing infrastructure domain
TRN00356,ipv4,198.51.100.137,Possible C2 or scanning source/destination address
TRN00356,domain,node-356-sync.example,Possible C2/phishing infrastructure domain
TRN00356,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00361,ipv4,198.51.100.142,Possible C2 or scanning source/destination address
TRN00361,domain,node-361-sync.example,Possible C2/phishing infrastructure domain
TRN00363,ipv4,198.51.100.144,Possible C2 or scanning source/destination address
TRN00363,domain,node-363-sync.example,Possible C2/phishing infrastructure domain
TRN00365,ipv4,198.51.100.146,Possible C2 or scanning source/destination address
TRN00365,domain,node-365-sync.example,Possible C2/phishing infrastructure domain
TRN00367,ipv4,198.51.100.148,Possible C2 or scanning source/destination address
TRN00367,domain,node-367-sync.example,Possible C2/phishing infrastructure domain
TRN00367,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00371,ipv4,198.51.100.152,Possible C2 or scanning source/destination address
TRN00371,domain,node-371-sync.example,Possible C2/phishing infrastructure domain
TRN00374,ipv4,198.51.100.155,Possible C2 or scanning source/destination address
TRN00374,domain,node-374-sync.example,Possible C2/phishing infrastructure domain
TRN00383,ipv4,198.51.100.164,Possible C2 or scanning source/destination address
TRN00383,domain,node-383-sync.example,Possible C2/phishing infrastructure domain
TRN00386,ipv4,198.51.100.167,Possible C2 or scanning source/destination address
TRN00386,domain,node-386-sync.example,Possible C2/phishing infrastructure domain
TRN00387,ipv4,198.51.100.168,Possible C2 or scanning source/destination address
TRN00387,domain,node-387-sync.example,Possible C2/phishing infrastructure domain
TRN00392,ipv4,198.51.100.173,Possible C2 or scanning source/destination address
TRN00392,domain,node-392-sync.example,Possible C2/phishing infrastructure domain
TRN00392,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00393,ipv4,198.51.100.174,Possible C2 or scanning source/destination address
TRN00393,domain,node-393-sync.example,Possible C2/phishing infrastructure domain
TRN00393,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00395,ipv4,198.51.100.176,Possible C2 or scanning source/destination address
TRN00395,domain,node-395-sync.example,Possible C2/phishing infrastructure domain
TRN00397,ipv4,198.51.100.178,Possible C2 or scanning source/destination address
TRN00397,domain,node-397-sync.example,Possible C2/phishing infrastructure domain
TRN00399,ipv4,198.51.100.180,Possible C2 or scanning source/destination address
TRN00399,domain,node-399-sync.example,Possible C2/phishing infrastructure domain
TRN00403,ipv4,198.51.100.184,Possible C2 or scanning source/destination address
TRN00403,domain,node-403-sync.example,Possible C2/phishing infrastructure domain
TRN00405,ipv4,198.51.100.186,Possible C2 or scanning source/destination address
TRN00405,domain,node-405-sync.example,Possible C2/phishing infrastructure domain
TRN00405,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00405,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00406,ipv4,198.51.100.187,Possible C2 or scanning source/destination address
TRN00406,domain,node-406-sync.example,Possible C2/phishing infrastructure domain
TRN00407,ipv4,198.51.100.188,Possible C2 or scanning source/destination address
TRN00407,domain,node-407-sync.example,Possible C2/phishing infrastructure domain
TRN00408,ipv4,198.51.100.189,Possible C2 or scanning source/destination address
TRN00408,domain,node-408-sync.example,Possible C2/phishing infrastructure domain
TRN00408,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00411,ipv4,198.51.100.192,Possible C2 or scanning source/destination address
TRN00411,domain,node-411-sync.example,Possible C2/phishing infrastructure domain
TRN00415,ipv4,198.51.100.196,Possible C2 or scanning source/destination address
TRN00415,domain,node-415-sync.example,Possible C2/phishing infrastructure domain
TRN00415,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00416,ipv4,198.51.100.197,Possible C2 or scanning source/destination address
TRN00416,domain,node-416-sync.example,Possible C2/phishing infrastructure domain
TRN00420,ipv4,198.51.100.201,Possible C2 or scanning source/destination address
TRN00420,domain,node-420-sync.example,Possible C2/phishing infrastructure domain
TRN00420,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00420,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00421,ipv4,198.51.100.202,Possible C2 or scanning source/destination address
TRN00421,domain,node-421-sync.example,Possible C2/phishing infrastructure domain
TRN00425,ipv4,198.51.100.206,Possible C2 or scanning source/destination address
TRN00425,domain,node-425-sync.example,Possible C2/phishing infrastructure domain
TRN00430,ipv4,198.51.100.211,Possible C2 or scanning source/destination address
TRN00430,domain,node-430-sync.example,Possible C2/phishing infrastructure domain
TRN00430,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00443,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN00443,domain,node-443-sync.example,Possible C2/phishing infrastructure domain
TRN00443,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00449,ipv4,198.51.100.10,Possible C2 or scanning source/destination address
TRN00449,domain,node-449-sync.example,Possible C2/phishing infrastructure domain
TRN00453,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN00453,domain,node-453-sync.example,Possible C2/phishing infrastructure domain
TRN00456,ipv4,198.51.100.17,Possible C2 or scanning source/destination address
TRN00456,domain,node-456-sync.example,Possible C2/phishing infrastructure domain
TRN00457,ipv4,198.51.100.18,Possible C2 or scanning source/destination address
TRN00457,domain,node-457-sync.example,Possible C2/phishing infrastructure domain
TRN00458,ipv4,198.51.100.19,Possible C2 or scanning source/destination address
TRN00458,domain,node-458-sync.example,Possible C2/phishing infrastructure domain
TRN00458,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00460,ipv4,198.51.100.21,Possible C2 or scanning source/destination address
TRN00460,domain,node-460-sync.example,Possible C2/phishing infrastructure domain
TRN00460,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00463,ipv4,198.51.100.24,Possible C2 or scanning source/destination address
TRN00463,domain,node-463-sync.example,Possible C2/phishing infrastructure domain
TRN00468,ipv4,198.51.100.29,Possible C2 or scanning source/destination address
TRN00468,domain,node-468-sync.example,Possible C2/phishing infrastructure domain
TRN00468,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00469,ipv4,198.51.100.30,Possible C2 or scanning source/destination address
TRN00469,domain,node-469-sync.example,Possible C2/phishing infrastructure domain
TRN00474,ipv4,198.51.100.35,Possible C2 or scanning source/destination address
TRN00474,domain,node-474-sync.example,Possible C2/phishing infrastructure domain
TRN00474,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00475,ipv4,198.51.100.36,Possible C2 or scanning source/destination address
TRN00475,domain,node-475-sync.example,Possible C2/phishing infrastructure domain
TRN00475,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00476,ipv4,198.51.100.37,Possible C2 or scanning source/destination address
TRN00476,domain,node-476-sync.example,Possible C2/phishing infrastructure domain
TRN00481,ipv4,198.51.100.42,Possible C2 or scanning source/destination address
TRN00481,domain,node-481-sync.example,Possible C2/phishing infrastructure domain
TRN00481,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00483,ipv4,198.51.100.44,Possible C2 or scanning source/destination address
TRN00483,domain,node-483-sync.example,Possible C2/phishing infrastructure domain
TRN00489,ipv4,198.51.100.50,Possible C2 or scanning source/destination address
TRN00489,domain,node-489-sync.example,Possible C2/phishing infrastructure domain
TRN00494,ipv4,198.51.100.55,Possible C2 or scanning source/destination address
TRN00494,domain,node-494-sync.example,Possible C2/phishing infrastructure domain
TRN00494,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00495,ipv4,198.51.100.56,Possible C2 or scanning source/destination address
TRN00495,domain,node-495-sync.example,Possible C2/phishing infrastructure domain
TRN00495,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00498,ipv4,198.51.100.59,Possible C2 or scanning source/destination address
TRN00498,domain,node-498-sync.example,Possible C2/phishing infrastructure domain
TRN00498,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00503,ipv4,198.51.100.64,Possible C2 or scanning source/destination address
TRN00503,domain,node-503-sync.example,Possible C2/phishing infrastructure domain
TRN00507,ipv4,198.51.100.68,Possible C2 or scanning source/destination address
TRN00507,domain,node-507-sync.example,Possible C2/phishing infrastructure domain
TRN00507,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00508,ipv4,198.51.100.69,Possible C2 or scanning source/destination address
TRN00508,domain,node-508-sync.example,Possible C2/phishing infrastructure domain
TRN00512,ipv4,198.51.100.73,Possible C2 or scanning source/destination address
